Date,Ticker,Type,Entry,Target,StopLoss,Status,CloseDate,Result
2025-12-30,RWE.DE,ACTION SHORT,45.05,43.608,45.699,OPEN,-,-
2025-12-30,CON.DE,ACTION SHORT,67.96,65.997,69.2854,OPEN,-,-
2025-12-30,MRK.DE,ACTION SHORT,122.6,119.09,124.9791,OPEN,-,-
2026-01-02,AIR.DE,ACTION SHORT,203.9,195.429,205.2829,OPEN,-,-
2026-01-02,CBK.DE,ACTION SHORT,36.49,34.852,37.1677,OPEN,-,-
2026-01-02,EOAN.DE,ACTION SHORT,16.41,15.5912,16.6434,OPEN,-,-
2026-01-02,MTX.DE,ACTION SHORT,371.2,352.42,372.2454,OPEN,-,-
2026-01-02,SAP.DE,ACTION LONG,201.8,208.35,199.7552,OPEN,-,-
2026-01-02,G24.DE,ACTION LONG,84.4,86.3025,83.0568,OPEN,-,-
2026-01-02,IFX.DE,ACTION SHORT,38.265,36.642,38.9103,OPEN,-,-
2026-01-05,RHM.DE,ACTION SHORT,1759.5,1566.225,1721.544,OPEN,-,-
2026-01-05,SIE.DE,ACTION SHORT,244.55,236.0525,249.3923,OPEN,-,-
2026-01-05,ENR.DE,ACTION SHORT,127.45,119.4075,127.6621,OPEN,-,-
2026-01-06,BTC-USD,FX SELL,92591.8906,88723.3344,93238.6966,OPEN,-,-
2026-01-06,DTG.DE,ACTION SHORT,40.18,37.5865,40.1836,OPEN,-,-
2026-01-06,DHL.DE,ACTION SHORT,48.26,46.497,48.945,OPEN,-,-
2026-01-06,SHL.DE,ACTION SHORT,45.77,44.074,46.542,OPEN,-,-
2026-01-07,HEI.DE,ACTION SHORT,229.7,221.725,231.47,OPEN,-,-
2026-01-07,PAH3.DE,ACTION LONG,38.55,40.223,38.0028,OPEN,-,-
2026-01-07,FME.DE,ACTION LONG,39.18,40.145,38.4577,OPEN,-,-
2026-01-08,BAYN.DE,ACTION SHORT,39.505,36.394,40.1265,OPEN,-,-
2026-01-08,DTE.DE,ACTION SHORT,28.23,27.2715,28.7041,OPEN,-,-
2026-01-08,FRE.DE,ACTION SHORT,49.75,48.069,50.4695,OPEN,-,-
2026-01-08,G1A.DE,ACTION SHORT,59.35,56.925,60.337,OPEN,-,-
2026-01-08,VNA.DE,ACTION SHORT,25.58,24.447,26.0382,OPEN,-,-
2026-01-09,HEN3.DE,ACTION SHORT,71.46,69.769,72.4571,OPEN,-,-
2026-01-09,SY1.DE,ACTION SHORT,70.06,68.028,71.4171,OPEN,-,-
